,0,1,2,3,4
0,subtle,flavor,,,
1,nutmeg,,,,
2,cinnamon,,,,
3,pair,,,,
4,roasted,meat,,,
5,tomato,,,,
6,sauce,,,,
7,spiced,cuisine,middle,east,
8,india,,,,
9,savory,wine,,,
10,well,gamey,dish,,
11,texasstyle,barbecue,,,
12,course,,,,
13,wellaged,sipped,fine,islay,
14,scotch,,,,
15,intense,smokysweet,,,
16,flavor,,,,
17,alicante,,,,
18,bouschet,,,,
19,beg,,,,
20,food,,,,
21,barbecue,,,,
22,teriyaki,,,,
23,carne,,,,
24,asada,,,,
25,grilled,vegetable,,,
26,excellent,,,,
27,seafood,,,,
28,portugal,famous,bacalhau,,
29,salt,,,,
30,cod,,,,
31,due,high,acidity,,
32,lemonzest,,,,
33,like,flavor,,,
34,dish,creamy,,,
35,turkey,fish,great,complement,
36,fresh,herb,,,
37,like,tarragon,,,
38,perfect,shellfish,course,,
39,greece,,,,
40,classic,tomatofeta,,,
41,salad,,,,
42,wine,,,,
43,versatile,wide,range,,
44,cuisine,,,,
45,rich,red,deserves,,
46,spiced,roasted,meat,,
47,complement,,,,
48,robust,,,,
49,tarlike,flavor,,,
50,food,,,,
51,wine,,,,
52,work,,,,
53,mediumintensity,dish,,,
54,pop,,,,
55,cherry,sage,,,
56,anise,,,,
57,cinnamon,,,,
58,white,pepper,,,
59,andor,,,,
60,sumac,,,,
61,bring,,,,
62,fruity,,,,
63,flavor,,,,
64,actual,fruit,,,
65,dish,,,,
66,need,inspiration,,,
67,orange,,,,
68,chicken,roast,,,
69,popular,choice,argentina,,
70,locally,inspired,fare,,
71,mole,sauce,,,
72,curried,potato,,,
73,taco,al,pastor,,
74,perfect,match,,,
75,rich,creamy,chocolate,,
76,dessert,,,,
77,like,ganache,,,
78,mousse,,,,
79,fun,,,,
80,aqui,,,,
81,berry,tart,,,
82,strawberry,,,,
83,ice,,,,
84,cream,,,,
85,higher,acidity,,,
86,make,possible,pair,,
87,cabernet,,,,
88,franc,,,,
89,tomatobased,dish,,,
90,vinegarbased,sauce,,,
91,smoky,,,,
92,bbq,anyone,,,
93,rich,legume,,,
94,black,beluga,,,
95,lentil,,,,
96,rich,flavor,,,
97,high,tannin,,,
98,content,,,,
99,cabernet,,,,
100,sauvignon,,,,
101,make,perfect,partner,,
102,grilled,meat,,,
103,peppery,,,,
104,sauce,dish,,,
105,work,,,,
106,cinnamonspiced,dish,,,
107,berrybased,sauce,,,
108,smoky,,,,
109,meat,,,,
110,word,,,,
111,amazing,,,,
112,choice,,,,
113,holiday,,,,
114,fare,,,,
115,local,fare,,,
116,indigenous,grape,,,
117,sicilian,vegetable,dish,antipasti,
118,fish,vongole,,,
119,pasta,,,,
120,anything,,,,
121,pair,,,,
122,coke,icecold,try,,
123,burger,,,,
124,french,fry,,,
125,southern,barbecue,,,
126,kung,,,,
127,pao,beef,,,
128,pepperoni,pizza,,,
