,body_vocab
0,medium-full body
1,full body
2,full body
3,medium-light body
4,medium-light body
5,light body
6,medium-full body
7,medium-full body
8,medium body
9,medium-full body
10,medium-light body
11,medium body
12,full body
13,medium body
14,medium-light body
15,medium body
16,medium body
17,light body
18,medium-light body
19,medium-full body
20,medium-light body
21,light body
22,light body
23,medium body
24,medium body
25,light body
26,medium-full body
27,light body
28,medium-light body
29,medium-light body
30,medium-light body
31,light body
32,light body
33,medium body
34,medium-light body
35,medium-light body
36,light body
37,medium-light body
38,medium-full body
39,medium body
40,medium-light body
41,full body
42,medium-light body
43,medium body
44,light body
45,medium-full body
46,medium-full body
47,medium-light body
48,medium body
49,light body
50,medium body
51,medium-full body
52,medium-full body
53,medium-light body
54,medium-full body
55,light body
56,full body
57,full body
58,medium-full body
59,medium-light body
60,light body
61,medium body
62,light body
63,medium body
64,full body
65,light body
66,light body
67,medium-light body
68,medium-light body
69,full body
70,medium-full body
71,medium-light body
72,medium body
73,medium-light body
74,medium body
75,full body
76,full body
77,medium-full body
78,medium body
79,full body
80,medium-light body
81,light body
82,light body
83,light body
84,medium-light body
85,medium body
86,medium body
87,medium-light body
88,medium-full body
89,medium-light body
90,medium-light body
