,sweetness_vocab
0,bone-dry
1,bone-dry
2,dry
3,bone-dry
4,bone-dry
5,bone-dry
6,dry
7,bone-dry
8,dry
9,bone-dry
10,sweet
11,dry
12,dry
13,dry
14,dry
15,off-dry
16,dry
17,bone-dry
18,dry
19,off-dry
20,dry
21,dry
22,bone-dry
23,dry
24,bone-dry
25,bone-dry
26,dry
27,bone-dry
28,dry
29,dry
30,dry
31,dry
32,dry
33,bone-dry
34,dry
35,dry
36,dry
37,bone-dry
38,dry
39,bone-dry
40,bone-dry
41,dry
42,sweet
43,dry
44,bone-dry
45,bone-dry
46,dry
47,off-dry
48,off-dry
49,off-dry
50,sweet
51,bone-dry
52,dry
53,bone-dry
54,dry
55,bone-dry
56,dry
57,dry
58,dry
59,dry
60,off-dry
61,dry
62,dry
63,dry
64,dry
65,dry
66,dry
67,dry
68,bone-dry
69,bone-dry
70,bone-dry
71,dry
72,dry
73,dry
74,dry
75,dry
76,dry
77,dry
78,dry
79,dry
80,dry
81,dry
82,dry
83,dry
84,dry
85,off-dry
86,dry
87,bone-dry
88,dry
89,dry
90,dry
