,tannins_vocab
0,medium-high tannins
1,high tannins
2,medium-high tannins
3,none tannins
4,none tannins
5,none tannins
6,high tannins
7,low tannins
8,medium tannins
9,medium-high tannins
10,none tannins
11,medium-high tannins
12,medium-high tannins
13,medium tannins
14,none tannins
15,none tannins
16,none tannins
17,none tannins
18,none tannins
19,medium tannins
20,low tannins
21,none tannins
22,none tannins
23,low tannins
24,none tannins
25,none tannins
26,low tannins
27,none tannins
28,none tannins
29,none tannins
30,low tannins
31,none tannins
32,none tannins
33,medium-high tannins
34,none tannins
35,none tannins
36,none tannins
37,none tannins
38,medium tannins
39,none tannins
40,none tannins
41,medium tannins
42,none tannins
43,none tannins
44,none tannins
45,medium-high tannins
46,medium-high tannins
47,none tannins
48,medium tannins
49,none tannins
50,none tannins
51,high tannins
52,medium-high tannins
53,medium tannins
54,medium-high tannins
55,none tannins
56,high tannins
57,medium-high tannins
58,medium tannins
59,none tannins
60,none tannins
61,low tannins
62,none tannins
63,none tannins
64,high tannins
65,none tannins
66,none tannins
67,none tannins
68,low tannins
69,high tannins
70,medium-high tannins
71,none tannins
72,none tannins
73,low tannins
74,low tannins
75,medium-high tannins
76,high tannins
77,medium-high tannins
78,medium-high tannins
79,high tannins
80,none tannins
81,none tannins
82,none tannins
83,none tannins
84,none tannins
85,none tannins
86,none tannins
87,none tannins
88,high tannins
89,low tannins
90,none tannins
